,,-90
,,
,-84,
,,-80
,,-80
,-86,
,-90,
,,-78
,,-70
,,
,,
,-94,
-84,,
,-90,-86
,,-88
,,
,-94,-84
-74,,
,,
,,
,,
-84,,
,,
,,
-84,,
,-94,
-80,,
,,
-92,,
,,
,-92,
,,
-78,,
-88,,
,,
,,
,,
,,
,,
-80,,
,,
,,
-84,,
,,
,,
,,
,,
-84,,
,,
,,
,,-94
,,-84
-70,,
,,
,,
,,
,,-90
,,-84
,,
,,
,,
,,
,-82,-86
,-88,
,,
,,
,,
,,
,,
,-90,
,-90,
,,
,,
,-80,
,,
,,
,-86,
,,
,,
-84,,
,,
,,
,,
,-90,-96
,,
,,
,-92,
-84,,
,,
,,
-88,-96,
-80,,
-92,-90,
-94,,
-92,-96,
,,
,,
,,
,,
,,
,,
,,
-92,,
,,
,,
,,
-92,,
,,
,,
,,
-94,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-92,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,-92,-92
,,
,,-96
,,
,,-96
,,
,,
,,-78
,,
,,
,,
,,
,,-84
,,
,,
,,-92
,,
,,-86
,-92,-80
,,
,,-90
,-86,
,,
,-74,
-94,-80,
,-76,
,,
,,
,-82,
-90,-82,
,-78,
,,
,,
,,
-92,,
,,
-92,,
,,
-86,-80,
,,
,,
-88,,
,,
,,
-92,,
