2,0.5
1,0.5
0.5,1
0.5,1
1,1
2,1
3,1
3,2
3,3
2.5,3.25
2,3.5
1.5,3.75
1.5,4
2,4.5
2.5,5
2.5,6
2.5,7
2.5,7.75
2.25,8.5
2,8.5
1.5,8.5
1,8.5
0.5,8.5
0,8.5
0,8.5
0,8.5
0,8.5
0.5,8.
1.25,8.5
2,8.5
2.5,8.5
3,8.5
3,9
3,9
3,9
3,8.75
2.75,8.25
2.5,7.75
2.5,7
2.5,6
2.5,5
2.25,4
2,3.5
2.25,3.25
2.75,3
3,3.25
2.75,4
2.75,5
2.5,6
2.75,7
